%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7
27195000000,0,26824.0,15.7552421758,21.3137580251,-74.0700150866,-184.820740471,9.62820575693,-5.55851584925,110.750725385
27196000000,0,26825.0,15.6749602018,21.3981396748,-74.1600151053,84.8334108947,-37.7384124247,-5.72317947302,-158.993426
27197000000,0,26826.0,15.5945235222,21.2039351571,-74.2500151241,-201.44050703,12.4086558156,-5.6094116349,127.190491906
27198000000,0,26827.0,15.5139329309,21.3620382935,-74.3400151428,157.965239323,-50.7517744005,-5.84810536257,-232.305254466
27199000000,0,26828.0,15.4331892234,21.2075422194,-74.4300151615,-155.481601214,4.06802236417,-5.77435299601,81.0515860524
27200000000,0,26829.0,15.3522931966,21.35776518,-74.5200151802,150.141086428,-49.6922748287,-6.00547198343,-224.661101608
27201000000,0,26830.0,15.2712456488,21.2071318553,-74.610015199,-151.621480215,3.08095978948,-5.93588620652,77.0114650164
27202000000,0,26831.0,15.19004738,21.3641051054,-74.7000152177,156.676775932,-51.1586210909,-6.17405772536,-231.37679115
27203000000,0,26832.0,15.1086991915,21.2056322225,-74.7900152364,-164.239985192,4.97080831483,-6.09693303097,89.4499699557
27204000000,0,26833.0,15.0272018863,21.3521761125,-74.8800152551,144.759067665,-49.3734038932,-6.32497422612,-219.63908292
27205000000,0,26834.0,14.9455562687,21.1545727575,-74.9700152739,-227.94160592,15.8617977839,-6.20901648883,152.971590647
27206000000,0,26835.0,14.8637631445,21.2600689924,-75.0600152926,104.221944513,-42.454255749,-6.3963058479,-179.281959805
27207000000,0,26836.0,14.7818233209,21.0721055675,-75.1500153113,-192.723195126,9.54177540481,-6.29028224654,117.573179815
27208000000,0,26837.0,14.6997376067,21.1774186706,-75.24001533,104.881186843,-42.7427576592,-6.4776810639,-180.121202173
27209000000,0,26838.0,14.617506812,21.0075703227,-75.3300153488,-172.371352551,5.7841424765,-6.3900635107,97.0413372023
27210000000,0,26839.0,14.5351317485,21.1412527344,-75.4200153675,133.248706518,-47.9494086515,-6.6061209859,-208.668721885
27211000000,0,26840.0,14.452613229,20.9580340737,-75.5100153862,-205.076896965,11.2595832117,-6.50542084464,129.566881579
27212000000,0,26841.0,14.3699520681,21.0581386125,-75.6000154049,99.4800785081,-42.2303197678,-6.68818654441,-175.080093913
27213000000,0,26842.0,14.2871490816,20.8907061567,-75.6900154236,-174.541573111,5.72746900164,-6.60355707513,98.8515576871
27214000000,0,26843.0,14.2042050867,21.0225634885,-75.7800154424,130.971191296,-47.985163287,-6.81835840187,-206.751206739
27215000000,0,26844.0,14.121120902,20.8385476103,-75.8700154611,-209.538535311,11.6054340299,-6.7174267083,133.66851985
27216000000,0,26845.0,14.0378973475,20.9478670996,-75.9600154798,107.835978973,-44.1386157078,-6.90996975212,-183.795994453
27217000000,0,26846.0,13.9545352447,20.7698485604,-76.0500154985,-186.768958229,7.42913371272,-6.81531331571,110.71894273
27218000000,0,26847.0,13.8710354162,20.8654732004,-76.1400155173,94.9667256124,-42.0713481641,-6.99443778424,-171.10674113
27219000000,0,26848.0,13.7873986862,20.6991873155,-76.230015536,-168.936250275,4.1169425983,-6.91178862932,92.7062347386
27220000000,0,26849.0,13.7036258802,20.8275716039,-76.3200155547,127.697219827,-48.0413457489,-7.12394572377,-204.017235382
27221000000,0,26850.0,13.6197178249,20.676104543,-76.4100155734,-157.921312962,1.91068661987,-7.05638671815,81.5112973881
27222000000,0,26851.0,13.5356753484,20.8089858327,-76.5000155922,131.166566858,-48.9389674668,-7.2733104843,-207.66658245
27223000000,0,26852.0,13.4514992804,20.6305204562,-76.5900156109,-209.15603083,10.6073765525,-7.17902117587,132.566015219
27224000000,0,26853.0,13.3671904514,20.7367770867,-76.6800156296,105.138694409,-44.5956971708,-7.36958663521,-181.818710039
27225000000,0,26854.0,13.2827496937,20.5671295254,-76.7700156483,-179.586287043,5.23118231336,-7.28437983169,102.816271394
27226000000,0,26855.0,13.1981778406,20.6646824309,-76.8600156671,96.8701015463,-43.3531254047,-7.46650459029,-173.730117213
27227000000,0,26856.0,13.1134757269,20.509303861,-76.9500156858,-157.310845409,1.1174552653,-7.39582813417,80.3608297233
27228000000,0,26857.0,13.0286441884,20.6375278141,-77.0400157045,127.498362751,-48.9786784846,-7.60888362566,-204.538378456
27229000000,0,26858.0,12.9436840624,20.4972446428,-77.1300157232,-146.704356577,-1.04043679311,-7.55356058033,69.5743408536
27230000000,0,26859.0,12.8585961876,20.6297974864,-77.220015742,130.814594387,-49.8721836229,-7.77120129887,-208.034610129
27231000000,0,26860.0,12.7733814035,20.4599531555,-77.3100157607,-200.482158562,8.08199417858,-7.68657175196,123.172142802
27232000000,0,26861.0,12.6880405514,20.5640214048,-77.4000157794,102.886424643,-45.2120901862,-7.8759808534,-180.286440423
27233000000,0,26862.0,12.6025744734,20.4024813609,-77.4900157981,-171.949727785,2.87292359536,-7.79990688748,94.4597119871
27234000000,0,26863.0,12.5169840131,20.4934843309,-77.5800158168,90.2875315497,-43.2200244294,-7.97650031777,-167.867547367
27235000000,0,26864.0,12.4312700152,20.3428351833,-77.6700158356,-152.353109968,-0.773627074188,-7.9115651681,74.683094132
27236000000,0,26865.0,12.3454333257,20.4658224885,-77.7600158543,122.244847068,-49.0801763124,-8.12038916276,-200.004862922
27237000000,0,26866.0,12.2594747918,20.328548236,-77.850015873,-143.999400136,-2.53794385513,-8.0690734442,66.1493842628
27238000000,0,26867.0,12.1733952617,20.4572388149,-77.9400158917,126.942496189,-50.2167681805,-8.28384355312,-204.88251208
27239000000,0,26868.0,12.0871955852,20.291523714,-78.0300159105,-196.162723895,6.29879189973,-8.20432812881,118.132707985
27240000000,0,26869.0,12.000876613,20.3905081055,-78.1200159292,99.7412476282,-45.6853063611,-8.38963149251,-177.861263557
27241000000,0,26870.0,11.9144391969,20.2316499048,-78.2100159479,-168.896820792,1.31156190999,-8.31721070791,90.6868048438
27242000000,0,26871.0,11.8278841902,20.3182134646,-78.3000159666,85.8639966664,-43.4704363353,-8.49032927442,-164.164012633
27243000000,0,26872.0,11.741212447,20.1723157614,-78.3900159854,-147.593553857,-2.6367547938,-8.43110331443,69.2035378717
27244000000,0,26873.0,11.6544248227,20.2901525817,-78.4800160041,117.113860489,-49.2097494476,-8.63572775893,-195.593876493
